timestamp,learning_rate,model_type,train_or_test,epoch,loss,model_parameters,uuid
2024-02-11 04:39:44.259509,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,22,1.7186483024772277e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:40:21.954793,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,23,1.7078860609310718e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:40:59.589326,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,24,1.6954344557172243e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:41:37.625303,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,25,1.6858419503974248e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:42:15.475188,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,26,1.674861399281554e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:42:52.509964,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,27,1.6608304176373654e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:43:30.463863,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,28,1.652361375041993e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:44:08.167188,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,29,1.646731203640563e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:44:45.721397,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,30,1.637977137094776e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:44:48.264443,0.0003,SIMPLE_300-SKIP_N_20,TEST,30,1.9151704746086386e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:45:42.741397,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,31,1.6282046031171298e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:47:26.101612,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,32,1.6209205364584877e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:48:16.568677,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,33,1.6067639428784385e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:48:55.030096,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,34,1.599499208822891e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:49:32.824388,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,35,1.5862211413158983e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:50:35.247500,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,36,1.584946585144725e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
2024-02-11 04:51:13.234998,0.0003,SIMPLE_300-SKIP_N_20,TRAIN,37,1.5758630568500565e-06,skip_20_LR_0.0003_LAYERSIZE_300,995f1a37-d50b-4d56-bde8-e056b3c6dbaa
